Image Result,Temperature Condition,Humidity Condition,Recommendation
Tomato healthy,Normal (18–27°C),Normal (60–80%),Continue normal watering and regular monitoring. No medicine needed
Tomato healthy,High (>27°C),Low (<60%),Increase watering and maintain moisture. Apply Seaweed extract / Anti-stress foliar spray
Tomato healthy,Low (<18°C),High (>80%),Monitor plant and improve air circulation. Apply Copper oxychloride (preventive)
Bacterial spot,20–30°C,High (>80%),Remove infected leaves and reduce moisture. Spray Copper hydroxide or Mancozeb 75% WP
Early blight,20–27°C,High (>80%),Remove affected leaves and improve ventilation. Spray Mancozeb 75% WP or Chlorothalonil
Late blight,18–24°C,Very High (>85%),Remove infected parts and reduce humidity. Spray Ridomil Gold or Metalaxyl + Mancozeb
Leaf Mold,18–25°C,Very High (>85%),Increase air circulation and avoid overwatering. Spray Copper fungicide or Chlorothalonil
Septoria leaf spot,20–25°C,High (>80%),Remove damaged leaves and keep plants dry. Spray Mancozeb or Copper fungicide
Spider mites (Two-spotted spider mite),High (>27°C),Low (<60%),Increase humidity and inspect leaves regularly. Apply Neem oil or Abamectin
Target Spot,20–30°C,High (>80%),Remove affected leaves and monitor spread. Spray Azoxystrobin or Mancozeb
Tomato Yellow Leaf Curl Virus,High (>27°C),Normal (60–80%),Remove affected plants and monitor nearby plants. No direct cure; control whiteflies using Imidacloprid / Neem oil
Tomato mosaic virus,20–30°C,Normal (60–80%),Remove infected plants and disinfect tools. No direct cure; control spread and use Imidacloprid for insect vectors
